transaction_id,amount,transaction_hour,kyc_level,device_change,location_change,past_fraud_count,is_fraud
TXN100118,4511.63,21,1,0,0,0,0
TXN100119,1600.2,15,3,0,0,0,0
TXN100120,3344.7,5,3,0,0,1,0
TXN100121,4578.49,7,1,0,0,0,0
TXN100122,815.46,12,1,0,1,1,1
TXN100123,283.18,21,3,1,0,0,0
TXN100124,567.37,7,2,0,1,0,0
TXN100125,1164.12,7,3,0,0,0,0
TXN100126,3457.66,6,3,1,0,1,0
TXN100127,3992.69,4,2,0,0,0,0
TXN100128,63.95,19,2,0,1,0,0
TXN100129,1479.75,0,2,1,0,1,1
TXN100130,1130.55,12,2,0,1,1,0
TXN100131,552.33,21,3,1,0,1,0
TXN100132,305.36,7,2,1,1,0,0
TXN100133,873.82,10,3,0,0,0,0
TXN100134,5776.24,19,2,1,1,1,1
TXN100135,830.77,6,2,0,0,0,0
TXN100136,1512.91,18,1,0,0,0,0
TXN100137,2478.17,20,3,1,0,0,0
TXN100138,953.95,6,2,0,1,0,0
TXN100139,7185.6,15,1,0,0,0,0
TXN100140,6614.02,11,1,0,0,0,0
TXN100141,630.12,10,1,0,1,0,0
TXN100142,1425.32,8,2,0,0,0,0
TXN100143,765.86,6,3,1,0,0,0
TXN100144,720.5,19,1,0,0,0,0
TXN100145,125.17,21,1,1,1,0,1
TXN100146,1930.98,13,3,1,1,0,0
TXN100147,1447.04,3,2,0,1,0,0
TXN100148,155.7,2,3,0,0,0,0
TXN100149,703.25,8,2,0,1,0,0
TXN100150,4827.72,4,2,1,0,0,0
TXN100151,597.72,23,3,1,1,0,0
TXN100152,363.06,2,3,1,0,1,1
TXN100153,1394.54,0,1,1,0,1,1
TXN100154,8538.07,17,2,1,0,1,1
TXN100155,604.29,12,2,1,1,0,0
TXN100156,2280.31,3,2,0,0,0,0
TXN100157,2917.78,17,1,0,0,0,0
TXN100158,592.67,8,3,0,0,0,0
TXN100159,2655.5,6,1,0,0,0,0
TXN100160,967.05,14,1,0,0,0,0
TXN100161,2051.01,12,3,0,0,0,0
TXN100162,2057.68,1,3,0,0,0,0
TXN100163,1584.77,10,1,0,1,0,0
TXN100164,239.26,3,2,0,0,0,0
TXN100165,3657.29,21,1,0,1,0,0
TXN100166,823.62,17,2,0,1,1,0
TXN100167,462.86,2,3,0,1,0,0
TXN100168,133.26,1,3,0,1,0,0
TXN100169,1837.56,11,1,0,1,0,0
TXN100170,2313.7,3,2,1,1,0,0
TXN100171,83.45,13,3,0,0,0,0
TXN100172,1485.26,15,1,1,1,0,1
TXN100173,563.65,20,1,0,0,1,0
TXN100174,2122.25,3,1,0,0,0,0
TXN100175,433.21,11,1,0,0,1,0
TXN100176,2398.43,18,1,0,1,0,0
TXN100177,1027.92,18,1,0,1,0,0
TXN100178,5570.69,11,2,0,0,0,0
TXN100179,345.89,14,2,1,0,0,0
TXN100180,884.26,2,1,0,0,2,1
TXN100181,290.89,18,2,0,0,0,0
TXN100182,5222.38,21,2,0,1,0,0
TXN100183,4246.67,14,3,0,0,0,0
TXN100184,646.65,19,3,0,1,1,0
TXN100185,2207.53,22,3,1,0,1,0
TXN100186,3448.97,6,2,0,0,0,0
TXN100187,1670.26,3,3,0,0,0,0
TXN100188,1558.56,0,3,0,1,0,0
TXN100189,603.75,8,3,0,1,0,0
TXN100190,245.45,6,1,0,0,0,0
TXN100191,4600.25,21,2,0,0,1,0
TXN100192,4663.55,4,1,0,0,1,1
TXN100193,2055.34,8,2,1,1,0,0
TXN100194,878.09,5,1,1,0,1,1
TXN100195,909.14,23,3,0,0,0,0
TXN100196,2638.93,22,3,0,0,0,0
TXN100197,4598.19,11,2,0,0,1,0
TXN100198,4412.27,12,1,0,1,2,1
TXN100199,3077.12,0,1,1,0,0,1
TXN100200,2104.62,14,2,1,0,0,0
TXN100201,225.78,15,2,1,1,1,1
TXN100202,402.59,1,1,0,0,0,0
TXN100203,4626.46,8,1,0,0,0,0
TXN100204,1914.99,9,2,0,1,1,0
TXN100205,68.48,19,1,0,1,1,1
TXN100206,263.99,15,2,0,0,0,0
TXN100207,2228.32,14,3,0,0,0,0
TXN100208,60.15,2,3,1,0,0,0
TXN100209,400.63,1,3,0,0,0,0
TXN100210,1641.4,7,1,0,0,0,0
TXN100211,2404.63,15,3,0,1,0,0
TXN100212,2160.88,22,2,0,0,0,0
TXN100213,557.9,8,2,0,0,0,0
TXN100214,2540.83,2,1,0,0,0,0
TXN100215,591.65,16,3,0,0,0,0
TXN100216,837.27,12,2,1,0,0,0
TXN100217,2794.72,15,1,0,0,0,0
TXN100218,2147.55,4,2,0,0,1,0
TXN100219,3833.91,4,1,0,1,0,1
TXN100220,2193.63,2,2,0,0,2,0
TXN100221,1730.09,12,1,0,1,0,0
TXN100222,246.71,7,2,1,1,0,0
TXN100223,966.83,7,1,0,0,0,0
TXN100224,666.32,16,1,0,0,0,0
TXN100225,609.4,14,1,0,0,1,0
TXN100226,7274.62,3,3,1,0,0,1
TXN100227,1048.77,21,2,0,0,0,0
TXN100228,4502.11,17,1,1,1,1,1
TXN100229,2044.67,6,3,1,1,0,0
TXN100230,3217.65,9,2,0,0,0,0
TXN100231,1446.87,0,2,0,0,0,0
TXN100232,1770.31,3,2,1,0,1,1
TXN100233,1406.59,10,1,0,1,0,0
TXN100234,484.43,14,3,0,0,0,0
TXN100235,2613.52,14,3,0,0,0,0
TXN100236,709.15,22,1,1,1,0,1
TXN100237,99.23,2,2,0,0,0,0
TXN100238,2123.94,18,2,0,0,2,0
TXN100239,439.87,19,3,0,0,0,0
TXN100240,5692.17,23,2,1,0,0,0
TXN100241,6205.12,13,2,1,0,1,1
TXN100242,4977.02,2,2,0,0,0,0
TXN100243,974.57,7,2,1,0,0,0
TXN100244,81.15,9,2,0,0,0,0
TXN100245,5321.05,8,2,1,0,2,1
TXN100246,1167.88,23,3,0,0,1,0
TXN100247,6851.68,14,3,0,0,0,0
TXN100248,6677.47,23,1,0,1,0,1
TXN100249,3884.77,8,3,0,0,0,0
TXN100250,747.55,3,1,0,0,0,0
TXN100251,1022.58,11,3,0,1,0,0
TXN100252,3859.45,18,3,0,1,0,0
TXN100253,812.29,23,3,1,0,1,0
TXN100254,421.44,0,2,0,0,0,0
TXN100255,1677.47,13,2,0,0,0,0
TXN100256,5552.59,9,1,0,1,1,1
TXN100257,2431.65,0,2,0,0,0,0
TXN100258,1738.22,3,2,0,0,1,0
TXN100259,254.46,9,1,0,0,0,0
TXN100260,1959.06,2,2,0,0,0,0
TXN100261,9271.14,15,2,0,1,0,0
TXN100262,351.84,17,3,1,0,0,0
TXN100263,1510.99,11,2,0,0,0,0
TXN100264,4247.22,20,1,1,0,0,0
TXN100265,2750.07,18,1,0,1,0,0
TXN100266,2438.15,8,2,1,0,0,0
TXN100267,2474.58,23,1,0,0,0,0
TXN100268,940.98,19,2,0,1,0,0
TXN100269,745.12,4,1,1,0,0,1
TXN100270,3364.75,4,3,0,1,0,0
TXN100271,3372.66,7,1,0,0,0,0
TXN100272,4085.9,6,2,0,0,0,0
TXN100273,4939.23,18,2,0,0,0,0
TXN100274,1482.19,21,2,1,0,0,0
TXN100275,1442.37,21,1,1,0,0,0
TXN100276,3251.9,17,3,0,0,0,0
TXN100277,2149.44,14,1,0,0,1,0
TXN100278,2471.1,0,1,0,0,2,1
TXN100279,3227.24,6,1,0,0,0,0
TXN100280,4464.65,18,2,0,1,0,0
TXN100281,874.96,4,2,0,0,0,0
TXN100282,991.87,7,1,0,1,0,0
TXN100283,247.39,4,2,0,0,0,0
TXN100284,1776.83,4,2,1,0,0,0
TXN100285,123.21,4,3,0,1,0,0
TXN100286,1303.21,10,3,0,0,0,0
TXN100287,1614.59,6,2,0,1,0,0
TXN100288,725.26,1,2,0,1,1,1
TXN100289,1837.27,16,2,0,1,0,0
TXN100290,111.95,10,1,0,0,0,0
TXN100291,126.13,19,3,0,1,0,0
TXN100292,3508.7,4,2,1,0,1,1
TXN100293,943.17,6,2,1,1,0,0
TXN100294,321.78,0,2,0,1,0,0
TXN100295,1527.31,8,3,0,0,0,0
TXN100296,2989.3,10,2,0,0,0,0
TXN100297,536.24,11,2,0,1,0,0
TXN100298,2000.44,9,1,0,0,0,0
TXN100299,228.42,19,2,0,0,0,0
TXN100300,156.13,21,1,1,0,0,0
TXN100301,1565.82,10,3,0,0,1,0
TXN100302,1605.82,0,2,0,0,0,0
TXN100303,2079.07,19,2,0,0,1,0
TXN100304,2639.92,4,2,0,0,0,0
TXN100305,7497.11,14,1,0,1,1,1
TXN100306,1502.58,23,2,0,1,1,0
TXN100307,830.04,21,3,0,0,0,0
TXN100308,3221.31,9,3,0,1,0,0
TXN100309,681.7,11,1,0,0,0,0
TXN100310,1205.97,13,2,0,1,0,0
TXN100311,213.41,18,2,0,0,0,0
TXN100312,101.36,9,2,1,1,0,0
TXN100313,6624.76,23,2,0,1,1,1
TXN100314,3665.54,21,3,0,0,1,0
TXN100315,2431.29,11,1,0,1,1,1
TXN100316,1101.72,17,3,0,0,1,0
TXN100317,430.61,20,2,0,1,2,0
TXN100318,390.24,18,1,1,0,0,0
TXN100319,626.01,3,1,1,1,0,1
TXN100320,1643.58,18,1,0,0,0,0
TXN100321,2557.7,20,1,0,0,1,0
TXN100322,2208.78,13,1,1,0,0,0
TXN100323,706.82,7,3,0,0,0,0
TXN100324,6246.21,22,1,0,0,0,0
TXN100325,2728.03,3,3,0,0,0,0
TXN100326,1666.46,15,3,0,0,0,0
TXN100327,1942.06,11,1,0,0,0,0
TXN100328,1138.08,17,2,0,0,0,0
TXN100329,619.32,11,2,0,0,0,0
TXN100330,930.03,17,3,0,0,1,0
TXN100331,2886.36,3,2,0,0,0,0
TXN100332,79.0,15,3,0,1,0,0
TXN100333,296.76,17,2,0,0,0,0
TXN100334,144.19,18,2,1,0,0,0
TXN100335,133.16,15,2,0,1,0,0
TXN100336,3918.41,20,1,1,0,1,1
TXN100337,2482.48,2,2,1,0,0,0
TXN100338,1335.57,16,3,1,1,0,0
TXN100339,255.91,2,1,0,0,2,1
TXN100340,1403.04,12,2,0,0,0,0
TXN100341,1332.9,5,1,0,0,0,0
TXN100342,430.39,18,1,0,1,0,0
TXN100343,1187.8,8,2,0,0,1,0
TXN100344,1066.67,18,3,1,0,0,0
TXN100345,1963.44,10,2,0,0,0,0
TXN100346,2066.23,2,2,0,0,1,0
TXN100347,142.72,14,3,0,1,0,0
TXN100348,988.77,15,3,0,0,1,0
TXN100349,2016.25,2,2,0,1,2,1
TXN100350,1448.88,4,2,0,1,1,1
TXN100351,3932.7,6,1,0,0,0,0
TXN100352,2199.95,20,1,0,1,0,0
TXN100353,405.71,8,2,0,0,0,0
TXN100354,196.36,21,2,1,0,0,0
TXN100355,2106.79,0,3,1,0,1,1
TXN100356,103.74,18,1,1,0,1,1
TXN100357,1812.69,23,3,0,0,0,0
TXN100358,5684.51,13,3,0,0,0,0
TXN100359,1763.56,14,1,0,0,0,0
TXN100360,1032.6,2,3,0,0,0,0
TXN100361,2111.65,23,1,0,0,1,0
TXN100362,1275.91,3,3,0,1,0,0
TXN100363,1627.63,16,2,0,0,0,0
TXN100364,5726.25,13,3,0,0,0,0
TXN100365,1025.86,21,3,0,0,0,0
TXN100366,6548.18,6,1,1,0,0,1
TXN100367,4765.15,7,1,1,0,0,0
TXN100368,485.79,15,3,0,0,1,0
TXN100369,193.77,21,1,0,0,0,0
TXN100370,262.45,15,1,0,0,1,0
TXN100371,86.78,13,1,0,1,0,0
TXN100372,248.41,16,3,0,0,0,0
TXN100373,2347.75,4,1,0,1,1,1
TXN100374,197.7,8,2,0,1,0,0
TXN100375,818.31,2,1,0,0,0,0
TXN100376,3777.05,20,2,0,1,0,0
TXN100377,97.09,21,1,1,0,0,0
TXN100378,3419.06,4,2,1,0,0,0
TXN100379,712.17,19,1,0,0,0,0
TXN100380,301.5,17,2,0,0,0,0
TXN100381,2436.31,20,3,1,0,0,0
TXN100382,2032.8,9,2,0,0,1,0
TXN100383,4248.83,0,1,0,1,0,1
TXN100384,2706.59,16,2,0,0,0,0
TXN100385,3303.99,7,2,0,0,1,0
TXN100386,712.67,19,2,0,0,1,0
TXN100387,440.67,16,3,0,1,1,0
TXN100388,2827.51,17,1,0,0,1,0
TXN100389,3338.42,4,2,0,0,1,0
TXN100390,9364.01,6,1,0,0,0,0
TXN100391,1114.16,4,2,0,0,0,0
TXN100392,980.49,9,1,0,0,0,0
TXN100393,3045.91,5,1,1,1,0,1
TXN100394,883.47,6,2,0,0,0,0
TXN100395,5390.28,2,2,0,0,1,1
TXN100396,3959.68,9,1,0,0,0,0
TXN100397,1170.71,20,2,0,0,1,0
TXN100398,2829.57,23,3,0,0,1,0
TXN100399,2859.27,5,3,0,0,0,0
TXN100400,267.68,1,3,0,0,0,0
TXN100401,4706.89,1,1,0,0,0,0
TXN100402,1457.41,5,2,0,1,0,0
TXN100403,3552.67,17,3,1,0,0,0
TXN100404,821.47,9,3,0,0,0,0
TXN100405,4567.58,6,1,0,0,1,0
TXN100406,1035.98,16,2,0,0,0,0
TXN100407,71.79,3,2,0,0,0,0
TXN100408,4765.81,11,2,0,1,0,0
TXN100409,241.45,7,3,0,0,1,0
TXN100410,819.31,8,1,0,0,1,0
TXN100411,6043.94,9,1,1,0,0,1
TXN100412,6065.9,18,2,0,1,0,0
TXN100413,1753.99,8,3,0,0,0,0
TXN100414,2048.46,23,1,0,0,0,0
TXN100415,1240.03,3,2,0,0,0,0
TXN100416,744.05,15,2,0,1,0,0
TXN100417,846.97,0,1,0,0,0,0
TXN100418,2282.65,9,1,0,0,0,0
TXN100419,2841.68,15,1,0,0,1,0
TXN100420,3186.39,20,3,0,0,1,0
TXN100421,3167.66,22,2,0,1,2,0
TXN100422,241.27,20,2,0,0,2,0
TXN100423,1414.1,4,2,0,1,2,1
TXN100424,168.56,20,2,0,0,0,0
TXN100425,1644.92,2,1,0,0,1,1
TXN100426,1215.11,21,1,0,1,1,1
TXN100427,4423.24,3,2,0,0,0,0
TXN100428,914.38,9,1,0,0,1,0
TXN100429,299.01,1,3,0,0,1,0
TXN100430,358.62,19,2,0,0,0,0
TXN100431,2916.86,21,2,1,1,0,0
TXN100432,1975.81,5,1,0,1,0,0
TXN100433,263.22,13,1,0,0,0,0
TXN100434,225.71,23,2,0,1,1,0
TXN100435,2464.42,4,3,1,0,1,1
TXN100436,201.09,18,3,0,0,0,0
TXN100437,3500.37,19,2,0,1,1,0
TXN100438,2500.0,20,3,1,1,0,0
TXN100439,219.7,14,1,0,0,0,0
TXN100440,227.31,16,1,0,0,0,0
TXN100441,8680.92,11,1,0,1,0,1
TXN100442,987.68,12,3,0,1,1,0
TXN100443,976.11,19,3,0,0,1,0
TXN100444,3401.15,23,1,1,0,1,1
TXN100445,5934.33,20,3,0,1,1,1
TXN100446,8587.55,15,3,0,1,0,0
TXN100447,2849.8,14,2,0,1,2,0
TXN100448,994.04,10,2,0,0,0,0
TXN100449,224.39,4,3,1,0,0,0
TXN100450,3052.49,17,3,0,0,1,0
TXN100451,1684.72,23,2,0,0,0,0
TXN100452,1154.07,12,1,0,1,0,0
TXN100453,4786.48,10,2,0,0,1,0
TXN100454,285.76,9,1,0,0,0,0
TXN100455,1407.01,14,3,0,0,0,0
TXN100456,72.84,6,3,1,0,1,0
TXN100457,1314.71,11,3,0,1,1,0
TXN100458,165.9,17,2,0,0,1,0
TXN100459,302.98,5,1,0,0,0,0
TXN100460,300.05,8,1,0,0,0,0
TXN100461,2145.14,15,1,0,0,0,0
TXN100462,2791.2,7,2,0,0,0,0
TXN100463,1801.11,11,2,0,0,1,0
TXN100464,6599.44,18,2,0,1,1,1
TXN100465,989.59,22,2,0,0,0,0
TXN100466,722.94,15,2,0,1,0,0
TXN100467,4109.01,3,2,0,1,0,0
TXN100468,556.16,19,3,1,0,3,0
TXN100469,6655.74,15,2,0,0,1,0
TXN100470,74.46,6,2,0,0,0,0
TXN100471,7055.05,12,2,0,0,0,0
TXN100472,138.24,22,1,0,0,2,0
TXN100473,4485.44,11,2,0,1,0,0
TXN100474,1550.29,0,2,0,0,0,0
TXN100475,9963.66,10,2,0,0,0,0
TXN100476,203.32,16,2,0,1,0,0
TXN100477,1664.22,5,3,1,0,0,0
TXN100478,7017.15,1,2,0,0,0,0
TXN100479,1530.89,2,1,0,0,0,0
TXN100480,2035.26,1,2,0,1,0,0
TXN100481,2429.8,17,1,0,0,0,0
TXN100482,1262.26,23,3,0,0,0,0
TXN100483,2025.35,23,1,1,1,1,1
TXN100484,1805.65,12,3,0,0,0,0
TXN100485,4678.47,21,1,0,0,0,0
TXN100486,143.02,18,2,0,1,1,0
TXN100487,709.69,20,1,0,0,1,0
TXN100488,6057.99,6,2,0,1,0,0
TXN100489,4469.35,20,2,1,0,0,0
TXN100490,1266.35,15,3,0,1,0,0
TXN100491,1985.87,22,1,0,0,1,0
TXN100492,699.75,15,1,0,0,0,0
TXN100493,466.81,9,1,0,1,2,1
TXN100494,1296.12,6,2,1,1,0,0
TXN100495,921.91,19,1,0,0,0,0
TXN100496,1802.49,15,2,0,0,2,0
TXN100497,211.84,9,2,0,1,0,0
TXN100498,7379.92,13,3,0,1,0,0
TXN100499,8617.73,21,3,0,0,0,0
TXN100500,2445.73,8,3,0,0,1,0
TXN100501,1586.16,3,3,1,1,0,0
TXN100502,790.76,11,3,1,1,0,0
TXN100503,3411.81,16,3,1,1,0,0
TXN100504,2358.66,7,3,1,0,1,0
TXN100505,404.95,3,1,1,0,0,1
TXN100506,4886.6,7,3,0,0,1,0
TXN100507,3507.99,8,3,0,1,0,0
TXN100508,6033.48,11,2,0,0,1,0
TXN100509,2637.21,15,1,0,0,0,0
TXN100510,1950.81,7,1,1,0,0,0
TXN100511,1133.41,14,1,0,0,0,0
TXN100512,5448.04,16,3,1,1,1,1
TXN100513,4070.78,12,1,0,0,0,0
TXN100514,142.55,13,2,1,1,1,1
TXN100515,103.44,14,3,1,0,0,0
TXN100516,994.7,8,2,0,0,0,0
TXN100517,3377.3,20,3,0,0,0,0
TXN100518,8778.55,23,3,1,0,0,0
TXN100519,376.02,11,3,0,0,0,0
TXN100520,1853.45,21,2,1,0,0,0
TXN100521,1008.95,22,1,1,0,0,0
TXN100522,7057.42,18,3,1,0,0,0
TXN100523,3741.83,8,2,1,0,0,0
TXN100524,3694.38,12,2,0,0,0,0
TXN100525,1314.83,17,2,0,0,1,0
TXN100526,1121.67,3,1,0,0,0,0
TXN100527,688.78,19,1,0,1,0,0
TXN100528,166.05,0,2,1,1,0,0
TXN100529,4050.85,19,1,0,0,1,0
TXN100530,3402.23,2,2,1,0,0,0
TXN100531,16394.89,10,1,0,1,0,1
TXN100532,11439.75,1,1,1,0,0,1
TXN100533,1671.3,5,3,0,0,1,0
TXN100534,2980.57,2,3,0,0,0,0
TXN100535,5842.34,9,1,0,0,0,0
TXN100536,3839.54,8,3,0,0,0,0
TXN100537,618.3,13,1,0,0,0,0
TXN100538,1247.65,15,2,0,1,0,0
TXN100539,326.59,23,2,0,0,0,0
TXN100540,6210.45,23,2,1,0,0,0
TXN100541,1913.7,17,2,1,0,1,0
TXN100542,569.21,21,2,0,0,0,0
TXN100543,2277.66,3,2,1,0,0,0
TXN100544,1975.34,17,3,0,0,0,0
TXN100545,936.84,1,1,1,0,1,1
TXN100546,291.08,9,3,1,0,0,0
TXN100547,2276.88,11,3,0,0,0,0
TXN100548,1519.22,6,1,1,0,0,0
TXN100549,3009.61,15,1,1,0,0,0
TXN100550,1518.62,16,1,0,1,1,1
TXN100551,3873.54,13,2,0,0,1,0
TXN100552,1655.51,23,2,0,0,0,0
TXN100553,1696.23,20,2,0,0,1,0
TXN100554,4235.52,23,2,0,1,0,0
TXN100555,1083.29,17,2,1,1,0,0
TXN100556,337.78,0,3,1,1,1,1
TXN100557,108.41,1,2,1,0,0,0
TXN100558,2864.11,13,2,0,0,0,0
TXN100559,1986.8,5,1,0,1,0,0
TXN100560,2485.33,14,2,0,0,0,0
TXN100561,528.96,3,1,0,0,0,0
TXN100562,343.23,23,2,0,0,0,0
TXN100563,79.3,8,2,1,0,0,0
TXN100564,913.37,14,3,0,0,0,0
TXN100565,1832.79,4,2,0,1,0,0
TXN100566,1045.96,5,2,1,0,0,0
TXN100567,1200.64,10,2,0,0,1,0
TXN100568,4740.12,12,1,0,0,0,0
TXN100569,906.21,11,1,1,0,0,0
TXN100570,1493.05,6,2,0,1,0,0
TXN100571,3111.74,19,1,1,0,0,0
TXN100572,1060.16,11,2,1,0,0,0
TXN100573,1996.18,9,1,0,0,2,0
TXN100574,4016.28,2,3,0,1,0,0
TXN100575,6022.38,1,2,1,1,0,1
TXN100576,368.16,19,1,1,1,0,1
TXN100577,5273.33,20,1,1,0,0,1
TXN100578,1405.01,0,2,0,0,1,0
TXN100579,647.47,20,2,0,0,0,0
TXN100580,1279.17,5,2,0,1,0,0
TXN100581,7877.31,12,1,0,0,0,0
TXN100582,1406.98,9,2,0,0,0,0
TXN100583,847.23,12,1,0,1,0,0
TXN100584,2056.97,21,3,1,1,0,0
TXN100585,599.26,4,2,0,1,0,0
TXN100586,207.79,7,3,0,1,0,0
TXN100587,325.95,20,2,0,1,0,0
TXN100588,324.04,10,2,0,0,0,0
TXN100589,379.52,18,3,0,0,0,0
TXN100590,348.92,18,1,0,0,0,0
TXN100591,2098.17,3,2,0,0,0,0
TXN100592,451.49,9,1,0,0,0,0
TXN100593,898.28,23,3,1,1,0,0
TXN100594,4591.95,8,3,0,0,2,0
TXN100595,1334.76,6,2,0,0,0,0
TXN100596,2252.58,17,1,1,0,0,0
TXN100597,428.26,8,2,0,0,0,0
TXN100598,477.1,5,2,0,0,0,0
TXN100599,133.45,5,2,1,0,1,0
TXN100600,420.09,12,3,0,0,0,0
TXN100601,703.1,21,2,0,0,0,0
TXN100602,439.62,16,2,0,0,1,0
TXN100603,235.77,14,1,0,0,0,0
TXN100604,307.11,8,2,0,0,0,0
TXN100605,1285.26,5,3,0,0,0,0
TXN100606,512.18,22,2,0,0,0,0
TXN100607,955.96,16,3,0,0,1,0
TXN100608,1450.01,4,1,0,1,0,1
TXN100609,2394.91,2,1,0,1,0,1
TXN100610,130.21,15,2,1,0,0,0
TXN100611,3262.99,1,2,1,0,0,0
TXN100612,2027.19,19,3,1,0,0,0
TXN100613,220.59,2,3,0,0,0,0
TXN100614,4186.27,8,2,0,0,0,0
